STATN	STNCODE	MONTH	DEPH	TEMP:mean	TEMP:std	TEMP:number_of_values	SALT:mean	SALT:std	SALT:number_of_values	DOXY:mean	DOXY:std	DOXY:number_of_values	O2SAT:mean	O2SAT:std	O2SAT:number_of_values	H2S:mean	H2S:std	H2S:number_of_values	PHOS:mean	PHOS:std	PHOS:number_of_values	DIN:mean	DIN:std	DIN:number_of_values	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:number_of_values	NTRI:mean	NTRI:std	NTRI:number_of_values	NTRA:mean	NTRA:std	NTRA:number_of_values	NTRZ:mean	NTRZ:std	NTRZ:number_of_values	AMON:mean	AMON:std	AMON:number_of_values	PTOT:mean	PTOT:std	PTOT:number_of_values	NTOT:mean	NTOT:std	NTOT:number_of_values	CPHL:mean	CPHL:std	CPHL:number_of_values	SECCHI:mean	SECCHI:std	SECCHI:number_of_values	ALKY:mean	ALKY:std	ALKY:number_of_values	PH:mean	PH:std	PH:number_of_values	HUMUS:mean	HUMUS:std	HUMUS:number_of_values
Å17	SKEX18	7	50.0	7.607	0.598	23	35.04	0.136	23	6.057	0.186	22	90.792	3.061	22	nan	nan	0	0.547	0.153	23	6.719	2.652	23	2.726	0.894	23	0.143	0.138	23	6.486	2.608	20	6.689	2.576	22	0.32	0.263	23	0.675	0.132	19	13.091	2.752	23	0.326	0.257	19	10.333	1.795	6	2.337	0.042	15	8.129	0.048	15	nan	nan	0
Å17	SKEX18	7	75.0	7.423	0.391	23	35.123	0.093	23	6.002	0.146	22	89.605	1.844	22	nan	nan	0	0.672	0.105	23	8.969	1.844	23	3.335	0.66	23	0.155	0.137	23	8.128	2.375	20	8.428	2.263	22	0.583	0.796	22	0.754	0.128	19	14.539	2.326	23	nan	nan	1	10.333	1.795	6	2.332	0.034	15	8.116	0.041	15	nan	nan	0
Å17	SKEX18	7	100.0	7.242	0.357	23	35.148	0.089	23	5.935	0.28	22	88.188	4.004	22	nan	nan	0	0.745	0.072	23	10.173	0.85	23	3.939	0.628	23	0.156	0.184	23	9.671	1.109	21	9.867	1.03	22	0.342	0.476	23	0.832	0.06	18	15.687	1.82	23	nan	nan	1	10.333	1.795	6	2.329	0.033	15	8.111	0.045	15	nan	nan	0
Å17	SKEX18	7	125.0	7.133	0.333	23	35.17	0.09	23	5.989	0.17	23	89.014	2.55	23	nan	nan	0	0.767	0.07	23	10.535	0.9	23	4.165	0.53	23	0.101	0.176	23	10.029	1.109	17	10.247	1.026	22	0.327	0.534	23	0.858	0.075	18	15.878	1.457	23	nan	nan	0	10.333	1.795	6	2.331	0.026	15	8.106	0.047	15	nan	nan	0
Å17	SKEX18	7	150.0	7.223	0.274	23	35.205	0.085	23	5.969	0.172	23	88.736	2.724	23	nan	nan	0	0.785	0.066	23	10.835	0.892	23	4.287	0.629	23	0.119	0.213	23	10.306	1.12	14	10.586	0.976	22	0.302	0.455	22	0.867	0.119	18	16.113	1.489	23	nan	nan	0	10.333	1.795	6	2.334	0.03	15	8.104	0.045	15	nan	nan	0
Å17	SKEX18	7	200.0	7.228	0.354	23	35.227	0.077	23	5.98	0.156	23	89.055	2.286	23	nan	nan	0	0.811	0.067	23	11.153	0.778	23	4.574	0.588	23	0.117	0.193	23	10.779	0.675	14	10.985	0.709	22	0.194	0.13	23	0.872	0.12	17	16.543	1.951	23	nan	nan	0	10.333	1.795	6	2.33	0.025	15	8.104	0.044	15	nan	nan	0
Å17	SKEX18	7	300.0	6.953	0.432	22	35.218	0.092	22	6.007	0.127	21	88.894	1.667	21	nan	nan	0	0.851	0.066	22	11.077	0.732	22	5.586	0.742	22	0.071	0.121	22	10.819	0.611	19	10.955	0.692	21	0.179	0.121	22	0.931	0.112	17	16.364	1.585	22	nan	nan	0	10.333	1.795	6	2.332	0.029	15	8.104	0.045	15	nan	nan	0
Å17	SKEX18	8	0.0	17.562	1.626	24	30.065	2.242	24	5.81	0.266	22	104.031	2.946	22	nan	nan	0	0.048	0.028	24	0.232	0.169	24	0.57	0.48	23	0.021	0.006	24	0.1	0.0	5	0.1	0.0	23	0.189	0.144	24	0.369	0.14	23	11.487	2.09	23	0.892	0.711	24	8.75	1.09	4	2.191	0.037	14	8.229	0.073	15	nan	nan	0
Å17	SKEX18	8	5.0	17.3	1.792	24	30.585	1.594	24	5.83	0.381	23	104.4	4.519	23	nan	nan	0	0.042	0.026	24	0.201	0.113	24	0.574	0.448	23	0.025	0.012	24	0.1	0.0	6	0.103	0.008	23	0.158	0.09	24	0.378	0.141	24	10.8	1.332	24	0.904	0.745	24	8.75	1.09	4	2.194	0.041	13	8.229	0.074	15	nan	nan	0
Å17	SKEX18	8	10.0	16.833	1.914	24	31.625	1.561	24	5.989	0.542	23	105.974	6.39	23	nan	nan	0	0.038	0.025	24	0.196	0.107	24	0.53	0.525	23	0.023	0.009	24	0.1	0.0	5	0.101	0.006	23	0.163	0.08	24	0.351	0.123	24	10.475	1.62	24	0.946	0.587	24	8.75	1.09	4	2.235	0.037	14	8.228	0.076	15	nan	nan	0
Å17	SKEX18	8	15.0	14.809	2.337	24	33.192	1.066	24	6.261	0.682	23	107.102	7.6	23	nan	nan	0	0.041	0.034	24	0.217	0.137	24	0.57	0.627	23	0.035	0.056	24	0.152	0.104	5	0.124	0.114	23	0.151	0.082	24	0.337	0.109	24	9.329	1.462	24	1.162	0.591	24	8.75	1.09	4	2.272	0.027	14	8.217	0.053	14	nan	nan	0
Å17	SKEX18	8	20.0	12.325	2.678	24	34.255	0.663	24	6.551	0.693	21	107.66	8.231	21	nan	nan	0	0.051	0.046	23	0.255	0.248	23	0.727	0.848	22	0.049	0.118	23	0.26	0.277	4	0.154	0.253	23	0.149	0.075	23	0.357	0.087	23	8.617	1.539	23	1.552	0.832	23	8.75	1.09	4	2.298	0.016	14	8.202	0.054	15	nan	nan	0
Å17	SKEX18	8	30.0	9.786	2.251	24	34.811	0.258	24	6.176	0.591	23	97.003	8.573	23	nan	nan	0	0.15	0.139	24	1.255	1.987	24	1.239	0.804	23	0.062	0.048	24	1.536	2.213	16	1.138	1.985	23	0.218	0.23	24	0.428	0.144	24	8.983	2.054	24	1.305	0.619	19	8.75	1.09	4	2.313	0.007	14	8.179	0.05	15	nan	nan	0
Å17	SKEX18	8	40.0	8.668	1.493	24	34.984	0.204	24	5.995	0.5	23	92.15	6.859	23	nan	nan	0	0.346	0.197	24	3.972	3.247	24	2.039	0.991	23	0.076	0.05	24	3.36	3.144	23	3.88	3.345	23	0.269	0.27	24	0.55	0.146	23	10.692	3.052	24	0.626	0.37	19	8.75	1.09	4	2.319	0.008	14	8.139	0.056	13	nan	nan	0
Å17	SKEX18	8	50.0	8.171	0.917	24	35.065	0.122	24	5.9	0.265	23	89.658	4.138	23	nan	nan	0	0.516	0.178	24	6.552	3.108	24	2.587	1.077	23	0.058	0.053	24	6.25	3.247	21	6.671	2.93	23	0.2	0.163	24	0.647	0.15	22	12.483	2.713	24	0.372	0.357	18	8.75	1.09	4	2.318	0.012	14	8.128	0.06	15	nan	nan	0
Å17	SKEX18	8	75.0	7.669	0.468	24	35.154	0.088	24	5.84	0.2	23	87.921	2.82	23	nan	nan	0	0.687	0.091	24	9.624	1.67	24	3.483	0.705	23	0.12	0.14	23	9.062	2.149	19	9.561	1.496	23	0.35	0.454	24	0.785	0.095	23	15.096	1.831	24	nan	nan	0	8.75	1.09	4	2.319	0.01	14	8.101	0.048	15	nan	nan	0
Å17	SKEX18	8	100.0	7.403	0.467	24	35.144	0.072	24	5.773	0.197	23	86.299	2.719	23	nan	nan	0	0.739	0.063	24	10.275	0.905	24	3.965	0.485	23	0.106	0.161	24	9.892	1.148	18	10.23	0.843	23	0.195	0.162	24	0.837	0.131	21	15.775	1.555	24	nan	nan	0	8.75	1.09	4	2.322	0.012	14	8.091	0.043	15	nan	nan	0
Å17	SKEX18	8	125.0	7.386	0.485	24	35.174	0.066	24	5.759	0.19	23	86.113	2.581	23	nan	nan	0	0.767	0.053	24	10.66	0.875	24	4.165	0.616	23	0.038	0.032	24	10.435	0.948	15	10.55	0.867	23	0.155	0.066	24	0.857	0.102	21	16.071	1.637	24	nan	nan	0	8.75	1.09	4	2.322	0.009	13	8.095	0.043	15	nan	nan	0
Å17	SKEX18	8	150.0	7.379	0.511	24	35.199	0.064	24	5.761	0.169	23	85.991	2.007	23	nan	nan	0	0.801	0.04	24	11.18	0.705	24	4.452	0.437	23	0.035	0.027	24	11.07	0.79	16	11.095	0.706	23	0.142	0.059	24	0.894	0.104	20	16.704	1.381	24	nan	nan	0	8.75	1.09	4	2.319	0.009	13	8.091	0.041	15	nan	nan	0
Å17	SKEX18	8	200.0	7.342	0.46	24	35.193	0.102	24	5.76	0.172	23	85.879	2.302	23	nan	nan	0	0.84	0.046	23	11.643	0.817	23	4.817	0.738	23	0.029	0.017	24	11.34	0.966	10	11.54	0.809	23	0.155	0.085	23	0.901	0.109	22	16.429	2.184	24	nan	nan	0	8.75	1.09	4	2.319	0.006	13	8.085	0.045	15	nan	nan	0
Å17	SKEX18	8	300.0	6.969	0.49	24	35.207	0.059	24	5.85	0.162	22	86.621	1.985	22	nan	nan	0	0.887	0.063	23	11.584	0.769	23	5.922	0.811	23	0.038	0.019	23	11.502	0.585	19	11.504	0.768	22	0.144	0.063	23	0.961	0.108	19	16.926	1.51	23	nan	nan	0	8.75	1.09	4	2.328	0.023	13	8.089	0.037	14	nan	nan	0
Å17	SKEX18	9	0.0	15.459	1.207	21	31.891	1.697	21	5.852	0.167	21	101.812	2.428	21	nan	nan	0	0.06	0.048	21	0.196	0.147	21	1.119	0.744	21	0.023	0.008	21	0.1	0.0	5	0.102	0.007	20	0.172	0.116	21	0.396	0.11	21	10.919	1.598	21	0.852	0.467	21	nan	nan	1	2.26	0.056	14	8.195	0.039	14	nan	nan	0
Å17	SKEX18	9	5.0	15.514	1.193	21	32.321	1.186	21	5.837	0.164	21	101.979	1.946	21	nan	nan	0	0.053	0.036	21	0.197	0.151	21	0.948	0.299	21	0.021	0.003	21	0.1	0.0	5	0.101	0.004	20	0.171	0.124	21	0.392	0.112	21	10.901	1.449	21	0.905	0.473	21	nan	nan	1	2.27	0.041	15	8.194	0.038	14	nan	nan	0
Å17	SKEX18	9	10.0	15.478	1.149	21	32.611	1.158	21	5.786	0.2	21	101.151	2.518	21	nan	nan	0	0.053	0.033	21	0.192	0.138	21	0.986	0.414	21	0.023	0.006	21	0.106	0.008	5	0.105	0.012	20	0.168	0.107	21	0.369	0.089	21	10.188	1.034	21	0.967	0.457	21	nan	nan	1	2.277	0.036	14	8.186	0.042	14	nan	nan	0
Å17	SKEX18	9	15.0	15.378	1.125	21	33.179	0.747	21	5.724	0.267	21	100.199	3.975	21	nan	nan	0	0.062	0.048	21	0.264	0.18	21	1.105	0.593	21	0.029	0.028	21	0.15	0.1	5	0.122	0.087	20	0.2	0.112	21	0.361	0.083	21	10.002	1.776	21	1.129	0.556	21	nan	nan	1	2.29	0.034	15	8.175	0.047	14	nan	nan	0
Å17	SKEX18	9	20.0	14.781	1.303	21	33.839	0.709	21	5.652	0.407	21	98.063	6.341	21	nan	nan	0	0.083	0.071	21	0.521	0.641	21	1.49	1.006	20	0.07	0.092	21	0.211	0.144	12	0.219	0.221	20	0.397	0.484	20	0.366	0.099	21	9.107	1.685	21	1.086	0.661	21	nan	nan	1	2.295	0.031	13	8.157	0.049	14	nan	nan	0
Å17	SKEX18	9	30.0	12.22	2.522	21	34.562	0.549	21	5.78	0.526	20	95.755	6.716	20	nan	nan	0	0.138	0.119	21	1.264	1.38	20	1.414	0.967	21	0.113	0.111	21	0.994	1.563	15	0.87	1.484	20	0.418	0.334	21	0.381	0.12	21	8.81	1.885	21	0.618	0.342	17	nan	nan	1	2.31	0.017	15	8.135	0.057	13	nan	nan	0
Å17	SKEX18	9	40.0	10.596	2.776	21	34.841	0.351	21	5.637	0.366	21	90.094	5.372	21	nan	nan	0	0.269	0.155	21	2.649	2.014	21	1.838	0.916	21	0.127	0.126	21	2.414	2.208	16	2.426	2.21	20	0.358	0.362	21	0.464	0.118	21	9.845	1.743	21	0.441	0.377	17	nan	nan	1	2.313	0.008	14	8.111	0.055	14	nan	nan	0
Å17	SKEX18	9	50.0	9.708	2.449	21	35.002	0.178	21	5.681	0.301	20	89.427	5.386	20	nan	nan	0	0.399	0.201	20	4.895	3.045	20	2.165	0.861	20	0.085	0.081	20	4.689	3.056	15	4.681	3.236	19	0.282	0.292	20	0.577	0.129	20	11.804	2.332	20	0.3	0.232	16	nan	nan	1	2.315	0.008	13	8.107	0.055	13	nan	nan	0
Å17	SKEX18	9	75.0	8.258	1.042	21	35.1	0.133	21	5.665	0.256	21	86.452	3.58	21	nan	nan	0	0.631	0.145	21	8.461	2.967	21	3.29	0.671	21	0.09	0.163	21	7.706	3.258	14	8.089	3.355	20	0.368	0.46	21	0.764	0.118	20	14.435	2.64	21	nan	nan	0	nan	nan	1	2.318	0.009	14	8.08	0.048	14	nan	nan	0
Å17	SKEX18	9	100.0	7.669	0.479	21	35.142	0.079	21	5.609	0.299	21	84.418	4.481	21	nan	nan	0	0.738	0.06	21	9.964	1.59	21	3.91	0.618	21	0.208	0.312	21	8.991	2.845	15	9.416	2.278	20	0.532	0.73	21	0.84	0.1	20	15.818	2.103	21	nan	nan	0	nan	nan	1	2.321	0.008	15	8.074	0.051	14	nan	nan	0
Å17	SKEX18	9	125.0	7.605	0.493	21	35.159	0.066	21	5.597	0.321	20	83.934	4.536	20	nan	nan	0	0.777	0.056	21	10.66	1.338	21	4.205	0.578	21	0.205	0.279	21	9.558	2.439	14	10.191	2.003	20	0.457	0.726	21	0.867	0.113	20	16.273	1.529	20	nan	nan	0	nan	nan	1	2.323	0.012	13	8.069	0.046	14	nan	nan	0
Å17	SKEX18	9	150.0	7.508	0.445	21	35.18	0.05	21	5.644	0.247	20	84.557	3.558	20	nan	nan	0	0.805	0.047	21	11.003	1.154	21	4.39	0.547	21	0.135	0.196	21	10.364	1.917	16	10.686	1.731	20	0.339	0.629	21	0.932	0.124	20	17.119	1.273	21	nan	nan	0	nan	nan	1	2.32	0.012	14	8.066	0.046	14	nan	nan	0
Å17	SKEX18	9	200.0	7.424	0.432	21	35.202	0.059	21	5.641	0.204	21	84.311	2.891	21	nan	nan	0	0.839	0.046	21	11.549	0.964	21	4.819	0.587	21	0.081	0.165	21	11.322	1.15	13	11.502	0.977	20	0.148	0.081	21	0.927	0.096	21	17.13	1.299	21	nan	nan	0	nan	nan	1	2.322	0.008	14	8.066	0.046	14	nan	nan	0
Å17	SKEX18	9	300.0	6.967	0.451	21	35.199	0.05	21	5.791	0.185	21	85.666	2.293	21	nan	nan	0	0.916	0.063	21	11.753	0.849	21	6.152	0.904	21	0.073	0.052	21	11.763	0.777	18	11.599	0.746	20	0.15	0.068	21	0.974	0.119	20	17.134	1.059	21	nan	nan	0	nan	nan	1	2.322	0.011	14	8.059	0.038	14	nan	nan	0
Å17	SKEX18	10	0.0	12.774	1.03	20	30.405	3.417	20	6.068	0.251	20	99.006	1.944	20	nan	nan	0	0.139	0.072	20	0.564	0.505	19	2.05	1.261	20	0.115	0.098	20	0.193	0.118	16	0.279	0.195	19	0.331	0.324	20	0.518	0.117	20	12.21	2.829	20	2.115	1.063	20	nan	nan	2	2.213	0.102	14	8.185	0.036	13	nan	nan	0
Å17	SKEX18	10	5.0	12.825	0.996	20	30.884	2.698	20	6.029	0.235	18	98.661	1.9	18	nan	nan	0	0.137	0.068	19	0.493	0.388	19	1.979	1.247	19	0.122	0.108	19	0.181	0.177	16	0.268	0.249	18	0.292	0.162	19	0.496	0.112	19	11.453	1.678	19	2.047	0.865	19	nan	nan	2	2.234	0.085	13	8.18	0.035	13	nan	nan	0
Å17	SKEX18	10	10.0	12.986	0.957	20	31.851	1.676	20	5.892	0.253	19	97.57	2.759	19	nan	nan	0	0.144	0.078	19	0.639	0.559	19	1.853	0.966	19	0.134	0.138	19	0.227	0.315	17	0.327	0.42	18	0.372	0.286	19	0.498	0.117	19	11.284	2.144	19	1.837	1.021	19	nan	nan	2	2.253	0.055	12	8.176	0.035	12	nan	nan	0
Å17	SKEX18	10	15.0	13.122	1.118	20	32.628	1.378	20	5.784	0.289	19	96.363	3.524	19	nan	nan	0	0.162	0.112	19	1.082	1.511	19	1.821	0.66	19	0.129	0.117	19	0.659	1.59	16	0.698	1.523	18	0.442	0.341	19	0.502	0.181	19	11.663	4.886	19	1.232	0.88	19	nan	nan	2	2.282	0.028	13	8.174	0.039	12	nan	nan	0
Å17	SKEX18	10	20.0	13.375	1.271	20	33.128	0.986	20	5.732	0.328	19	96.401	3.65	19	nan	nan	0	0.15	0.074	19	0.9	0.704	19	1.774	0.631	19	0.164	0.175	19	0.379	0.538	16	0.488	0.668	18	0.455	0.361	19	0.47	0.116	19	9.953	1.217	19	1.226	0.95	19	nan	nan	2	2.293	0.031	13	8.162	0.045	13	nan	nan	0
Å17	SKEX18	10	30.0	13.28	1.646	20	33.959	0.69	20	5.541	0.405	19	93.537	6.264	19	nan	nan	0	0.195	0.095	19	1.577	0.964	19	2.042	0.966	19	0.252	0.235	19	0.818	1.003	18	1.04	1.105	18	0.587	0.492	19	0.469	0.125	19	9.589	1.583	19	0.656	0.695	16	nan	nan	2	2.313	0.019	13	8.142	0.048	13	nan	nan	0
Å17	SKEX18	10	40.0	12.747	2.031	20	34.232	0.57	20	5.521	0.313	19	92.098	5.187	19	nan	nan	0	0.245	0.14	19	2.285	1.719	19	2.142	0.923	19	0.25	0.185	19	1.356	1.574	17	1.849	1.925	18	0.532	0.47	19	0.496	0.138	19	9.895	1.856	19	0.538	0.765	16	nan	nan	2	2.313	0.015	13	8.131	0.051	13	nan	nan	0
Å17	SKEX18	10	50.0	12.032	2.284	20	34.553	0.493	20	5.467	0.24	18	89.776	4.896	18	nan	nan	0	0.334	0.197	19	3.583	2.997	19	2.563	0.886	19	0.223	0.212	18	2.631	3.02	18	3.303	3.303	18	0.448	0.422	18	0.543	0.172	19	10.274	1.838	19	0.35	0.515	16	nan	nan	2	2.316	0.011	13	8.111	0.045	13	nan	nan	0
Å17	SKEX18	10	75.0	9.138	1.28	20	35.007	0.192	20	5.307	0.342	19	82.209	5.126	19	nan	nan	0	0.562	0.202	19	7.011	3.279	19	3.453	0.942	19	0.13	0.17	19	5.516	3.631	15	6.819	3.716	18	0.443	0.605	19	0.694	0.187	19	12.963	2.526	19	nan	nan	0	nan	nan	2	2.319	0.009	12	8.069	0.051	13	nan	nan	0
Å17	SKEX18	10	100.0	8.121	0.475	20	35.119	0.117	20	5.377	0.229	18	81.736	3.612	18	nan	nan	0	0.714	0.123	18	9.501	2.217	18	4.006	0.822	18	0.089	0.147	18	8.288	3.038	12	9.172	2.805	17	0.401	0.612	18	0.851	0.154	17	15.029	2.289	17	nan	nan	0	nan	nan	2	2.321	0.01	12	8.054	0.055	13	nan	nan	0
Å17	SKEX18	10	125.0	7.794	0.323	20	35.156	0.082	20	5.449	0.211	16	82.198	2.879	16	nan	nan	0	0.781	0.077	18	10.609	1.382	18	4.256	0.608	18	0.066	0.159	18	10.311	1.363	11	10.532	1.428	17	0.157	0.079	18	0.897	0.126	18	15.744	1.826	18	nan	nan	0	nan	nan	2	2.321	0.008	12	8.054	0.049	13	nan	nan	0
Å17	SKEX18	10	150.0	7.707	0.334	20	35.174	0.079	20	5.513	0.194	16	83.056	2.712	16	nan	nan	0	0.806	0.062	17	11.107	1.228	17	4.418	0.609	17	0.055	0.117	17	10.623	1.274	12	11.065	1.254	16	0.147	0.071	17	0.939	0.117	17	16.453	1.811	17	nan	nan	0	nan	nan	2	2.328	0.013	12	8.061	0.041	13	nan	nan	0
Å17	SKEX18	10	200.0	7.647	0.354	20	35.206	0.072	20	5.519	0.172	17	83.014	2.211	17	nan	nan	0	0.858	0.045	18	11.869	0.847	18	5.029	0.571	17	0.032	0.03	18	11.55	1.041	9	11.783	0.831	17	0.154	0.074	18	0.952	0.114	17	16.728	1.192	18	nan	nan	0	nan	nan	2	2.327	0.013	13	8.058	0.039	13	nan	nan	0
Å17	SKEX18	10	300.0	7.16	0.449	20	35.205	0.063	20	5.669	0.219	17	84.316	2.651	17	nan	nan	0	0.898	0.053	18	11.865	0.734	18	5.844	0.953	18	0.051	0.026	18	11.588	0.661	14	11.75	0.683	17	0.153	0.067	18	0.968	0.133	16	16.706	1.466	18	nan	nan	0	nan	nan	2	2.331	0.021	13	8.057	0.04	13	nan	nan	0
Å17	SKEX18	11	0.0	10.115	1.254	21	32.269	1.936	21	6.326	0.251	21	98.457	1.738	21	nan	nan	0	0.228	0.104	20	1.723	0.899	21	2.152	1.627	21	0.455	0.354	21	1.103	0.666	21	1.552	0.88	20	0.26	0.211	18	0.507	0.138	21	11.053	1.9	19	1.467	0.559	21	nan	nan	0	2.256	0.055	16	8.167	0.038	16	nan	nan	0
Å17	SKEX18	11	5.0	10.152	1.255	21	32.304	1.858	21	6.349	0.208	20	98.746	1.486	20	nan	nan	0	0.228	0.104	20	1.747	0.871	21	2.133	1.527	21	0.455	0.352	21	1.099	0.663	21	1.551	0.866	20	0.273	0.221	18	0.525	0.149	21	11.59	2.927	21	1.467	0.608	21	nan	nan	0	2.261	0.052	16	8.166	0.039	16	nan	nan	0
Å17	SKEX18	11	10.0	10.251	1.229	21	32.635	1.101	21	6.33	0.25	20	99.028	2.124	20	nan	nan	0	0.225	0.099	19	1.765	0.923	20	2.02	1.096	20	0.472	0.35	20	1.097	0.683	20	1.564	0.878	20	0.286	0.221	17	0.507	0.129	20	10.995	1.733	20	1.419	0.516	21	nan	nan	0	2.266	0.038	15	8.173	0.042	15	nan	nan	0
Å17	SKEX18	11	15.0	10.4	1.29	21	32.967	0.935	21	6.246	0.221	21	98.348	1.321	21	nan	nan	0	0.227	0.094	20	1.808	0.833	21	1.91	0.826	21	0.488	0.351	21	1.134	0.624	21	1.618	0.832	20	0.283	0.211	18	0.505	0.133	21	10.638	1.829	21	1.195	0.496	21	nan	nan	0	2.276	0.034	16	8.163	0.042	16	nan	nan	0
Å17	SKEX18	11	20.0	10.802	1.347	21	33.433	0.764	21	6.113	0.233	21	97.47	1.52	21	nan	nan	0	0.233	0.095	20	2.063	0.981	21	1.924	0.801	21	0.494	0.368	21	1.37	0.909	21	1.875	1.032	20	0.299	0.278	18	0.473	0.132	20	10.195	1.324	21	0.819	0.471	21	nan	nan	0	2.289	0.025	16	8.158	0.043	16	nan	nan	0
Å17	SKEX18	11	30.0	11.232	1.076	21	34.269	0.405	21	5.842	0.236	20	94.368	3.414	20	nan	nan	0	0.275	0.095	19	2.62	0.952	20	1.955	0.698	20	0.369	0.361	20	1.955	1.074	19	2.443	1.065	19	0.273	0.28	17	0.477	0.134	20	9.62	1.414	20	0.35	0.298	16	nan	nan	0	2.303	0.02	15	8.143	0.042	15	nan	nan	0
Å17	SKEX18	11	40.0	11.0	1.276	20	34.62	0.327	21	5.727	0.3	21	91.995	5.327	20	nan	nan	0	0.353	0.133	20	3.522	1.928	21	2.286	0.888	21	0.289	0.312	21	2.64	1.904	19	3.29	2.103	20	0.295	0.273	18	0.548	0.161	21	10.2	1.292	21	0.271	0.244	17	nan	nan	0	2.311	0.021	16	8.126	0.049	16	nan	nan	0
Å17	SKEX18	11	50.0	10.369	1.343	21	34.822	0.252	21	5.584	0.29	21	89.061	5.832	21	nan	nan	0	0.452	0.142	20	4.937	2.388	21	2.757	0.83	21	0.236	0.319	21	3.895	2.572	17	4.742	2.545	20	0.233	0.222	18	0.617	0.165	21	11.367	1.65	21	0.25	0.209	16	nan	nan	0	2.314	0.013	16	8.097	0.04	14	nan	nan	0
Å17	SKEX18	11	75.0	9.46	1.243	21	35.046	0.241	21	5.519	0.282	21	86.281	5.503	21	nan	nan	0	0.659	0.159	20	8.153	3.349	21	3.638	0.774	21	0.129	0.192	21	6.632	3.768	14	7.997	3.528	20	0.207	0.176	18	0.753	0.189	20	13.862	2.458	21	nan	nan	0	nan	nan	0	2.316	0.011	16	8.084	0.05	16	nan	nan	0
Å17	SKEX18	11	100.0	8.702	0.9	21	35.105	0.139	21	5.339	0.24	21	82.153	4.358	21	nan	nan	0	0.756	0.105	20	9.522	2.334	21	4.252	0.561	21	0.077	0.112	21	8.684	2.664	14	9.448	2.383	20	0.141	0.061	18	0.852	0.169	20	15.071	2.147	21	nan	nan	0	nan	nan	0	2.315	0.007	16	8.063	0.051	16	nan	nan	0
Å17	SKEX18	11	125.0	8.203	0.485	21	35.152	0.108	21	5.334	0.214	20	81.119	3.252	20	nan	nan	0	0.799	0.089	19	10.668	1.507	20	4.61	0.39	20	0.038	0.031	20	10.313	1.705	13	10.562	1.533	19	0.132	0.061	17	0.895	0.148	18	15.95	1.792	20	nan	nan	0	nan	nan	0	2.319	0.009	15	8.054	0.043	15	nan	nan	0
Å17	SKEX18	11	150.0	7.932	0.384	21	35.172	0.097	21	5.396	0.203	21	81.694	2.908	21	nan	nan	0	0.825	0.063	20	11.158	1.001	21	4.733	0.402	21	0.033	0.024	21	10.861	1.05	13	11.029	0.958	20	0.142	0.07	18	0.961	0.132	18	16.329	1.479	21	nan	nan	0	nan	nan	0	2.321	0.006	15	8.056	0.043	16	nan	nan	0
Å17	SKEX18	11	200.0	7.775	0.414	21	35.199	0.083	21	5.48	0.184	20	82.631	2.371	20	nan	nan	0	0.863	0.056	19	11.743	0.813	20	5.07	0.51	20	0.036	0.031	20	11.595	0.872	12	11.642	0.831	19	0.151	0.091	17	0.974	0.128	18	17.185	1.051	20	nan	nan	0	nan	nan	0	2.32	0.015	15	8.06	0.043	15	nan	nan	0
Å17	SKEX18	11	300.0	7.206	0.614	21	35.192	0.057	21	5.632	0.21	21	83.818	2.131	21	nan	nan	0	0.927	0.054	20	11.788	0.823	21	6.4	1.16	21	0.074	0.049	21	11.671	0.789	21	11.668	0.745	20	0.131	0.064	18	1.023	0.104	18	16.981	1.417	21	nan	nan	0	nan	nan	0	2.325	0.013	16	8.058	0.044	16	nan	nan	0
Å17	SKEX18	12	0.0	7.425	1.891	22	31.28	3.155	22	6.789	0.41	21	98.312	1.545	21	nan	nan	0	0.424	0.09	22	4.021	0.935	22	4.286	2.02	21	0.249	0.195	22	3.492	0.801	22	3.778	0.83	21	0.37	0.358	20	0.654	0.182	19	13.695	2.599	19	0.905	0.453	22	nan	nan	1	2.258	0.038	15	8.143	0.028	16	nan	nan	1
Å17	SKEX18	12	5.0	7.725	1.38	22	31.672	2.989	22	6.707	0.348	22	98.837	1.453	22	nan	nan	0	0.438	0.094	22	4.099	0.848	22	4.173	2.034	22	0.287	0.302	22	3.519	0.713	22	3.83	0.734	21	0.366	0.398	21	0.65	0.207	20	12.99	2.834	20	0.877	0.461	22	nan	nan	1	2.275	0.035	14	8.141	0.027	15	nan	nan	1
Å17	SKEX18	12	10.0	8.317	1.096	22	32.683	2.111	22	6.514	0.248	22	98.05	1.563	22	nan	nan	0	0.426	0.088	22	3.976	0.652	22	3.759	1.772	22	0.315	0.405	22	3.403	0.548	22	3.753	0.464	21	0.333	0.417	21	0.669	0.16	18	12.05	1.788	20	0.609	0.156	22	nan	nan	1	2.281	0.032	15	8.138	0.028	16	nan	nan	1
Å17	SKEX18	12	15.0	8.61	1.04	22	33.355	0.934	22	6.439	0.234	21	97.81	2.356	21	nan	nan	0	0.426	0.086	22	3.993	0.719	22	3.591	1.484	22	0.322	0.438	22	3.467	0.569	22	3.824	0.503	21	0.292	0.367	21	0.653	0.148	19	11.955	1.701	20	0.545	0.147	22	nan	nan	1	2.293	0.028	15	8.138	0.027	15	nan	nan	1
