depth	depth_interval	month	sea_basin	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	PH_LAB:mean	PH_LAB:std	PH_LAB:count	PH_LAB:max	PH_LAB:min	PH_LAB:95p	PH_LAB:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p	doxy:mean	doxy:std	doxy:count	doxy:max	doxy:min	doxy:95p	doxy:5p	oxygen_saturation:mean	oxygen_saturation:std	oxygen_saturation:count	oxygen_saturation:max	oxygen_saturation:min	oxygen_saturation:95p	oxygen_saturation:5p	din:mean	din:std	din:count	din:max	din:min	din:95p	din:5p	salt:mean	salt:std	salt:count	salt:max	salt:min	salt:95p	salt:5p	temp:mean	temp:std	temp:count	temp:max	temp:min	temp:95p	temp:5p
15.00	12.5_17.5	11	Åland Sea																																																																																																																																																																									5.89	0.32	16.00	6.40	5.21	6.28	5.30	5.99	1.14	16.00	7.50	3.46	7.42	4.09
15.00	12.5_17.5	12	Åland Sea								5.38	0.84	32.00	7.10	3.46			5.87	0.35	30.00	6.66	5.27										5.25	0.71	29.00	6.41	3.58			5.86	0.34	30.00	6.66	5.27			8.15	0.27	34.00	8.68	7.47	8.63	7.77	0.39	0.11	34.00	0.60	0.17	0.55	0.22	0.05	0.02	34.00	0.12	0.02	0.09	0.02	2.76	0.53	34.00	4.02	1.68	3.47	1.90	2.81	0.52	34.00	4.09	1.80	3.48	1.97	0.17	0.09	32.00	0.42	0.05			15.18	3.28	34.00	23.10	9.20	20.79	10.51																																											19.29	1.74	33.00	22.00	14.70			0.62	0.16	34.00	0.88	0.34	0.84	0.37	8.15	0.27	34.00	8.68	7.47	8.63	7.77	94.98	1.84	34.00	99.15	88.21	97.08	92.58	2.93	0.55	32.00	4.35	1.88			5.86	0.33	34.00	6.66	5.27	6.29	5.34	5.33	0.85	34.00	7.10	3.46	6.61	3.75
20.00	17.5_22.5	10	Åland Sea								10.67	1.21	16.00	12.65	8.69	12.59	9.09	5.69	0.22	16.00	6.02	5.38	6.02	5.41	6.80	0.40	16.00	7.33	6.07	7.31	6.14																																																																																																																								6.86	0.34	16.00	7.33	6.23	7.31	6.25	90.58	5.62	16.00	97.06	78.95	96.55	81.15								5.69	0.22	16.00	6.02	5.38	6.02	5.41	10.67	1.21	16.00	12.65	8.69	12.59	9.09
20.00	17.5_22.5	11	Åland Sea																																																																																																																																																																									5.95	0.33	16.00	6.45	5.21	6.29	5.32	6.09	1.13	16.00	7.50	3.53	7.44	4.11
20.00	17.5_22.5	12	Åland Sea								5.47	0.84	32.00	7.19	3.61			5.95	0.34	30.00	6.66	5.29										5.33	0.78	29.00	6.41	2.86			5.93	0.34	30.00	6.66	5.29			8.08	0.31	34.00	8.72	7.46	8.65	7.60	0.41	0.12	34.00	0.62	0.17	0.57	0.24	0.06	0.03	34.00	0.16	0.02	0.09	0.03	2.83	0.53	34.00	4.09	1.77	3.57	1.94	2.88	0.52	34.00	4.16	1.85	3.62	2.04	0.17	0.08	32.00	0.40	0.05			15.01	3.16	34.00	22.90	9.10	20.75	10.68																																											19.32	1.68	34.00	22.10	14.60	22.04	17.01	0.65	0.17	34.00	0.87	0.35	0.87	0.39	8.08	0.31	34.00	8.72	7.46	8.65	7.60	94.41	2.34	34.00	99.43	88.25	97.15	90.53	3.00	0.57	32.00	4.46	1.91			5.95	0.33	34.00	6.66	5.29	6.41	5.43	5.44	0.83	34.00	7.19	3.61	6.61	3.73
30.00	27.5_35.0	10	Åland Sea								8.91	1.79	16.00	11.58	5.65	11.45	6.31	6.07	0.41	16.00	6.58	5.48	6.57	5.48	6.57	0.42	16.00	7.30	5.91	7.29	6.08																																																																																																																								6.62	0.39	16.00	7.30	6.01	7.29	6.10	84.25	6.86	16.00	95.73	76.56	95.71	76.57								6.07	0.41	16.00	6.58	5.48	6.57	5.48	8.91	1.79	16.00	11.58	5.65	11.45	6.31
30.00	27.5_35.0	11	Åland Sea																																																																																																																																																																									6.07	0.31	16.00	6.55	5.44	6.47	5.56	6.18	1.08	16.00	7.65	3.73	7.51	4.14
30.00	27.5_35.0	12	Åland Sea								5.56	0.83	32.00	7.20	3.67			6.06	0.35	30.00	6.66	5.35										5.47	0.73	29.00	6.81	3.66			6.04	0.36	29.00	6.66	5.34			7.98	0.32	34.00	8.73	7.30	8.52	7.48	0.45	0.13	34.00	0.69	0.19	0.64	0.24	0.06	0.05	34.00	0.31	0.02	0.09	0.03	2.89	0.57	34.00	4.13	1.77	3.60	1.88	2.94	0.55	34.00	4.21	1.84	3.66	2.04	0.15	0.07	31.00	0.29	0.04			14.84	3.01	34.00	22.60	8.60	20.59	10.96																																											19.45	1.80	33.00	22.90	14.50			0.69	0.17	33.00	1.05	0.37			7.98	0.32	34.00	8.73	7.30	8.52	7.48	93.63	2.52	34.00	99.34	87.05	96.63	89.31	3.02	0.58	31.00	4.43	1.84			6.05	0.34	34.00	6.66	5.35	6.57	5.51	5.55	0.81	34.00	7.20	3.67	6.81	4.20
40.00	35.0_45.0	10	Åland Sea								7.29	1.98	16.00	10.43	3.74	9.96	4.80	6.45	0.44	16.00	7.32	5.56	6.91	5.67	6.41	0.40	16.00	7.25	5.57	7.08	5.93																																																																																																																								6.47	0.35	16.00	7.25	5.96	7.08	6.03	79.45	6.60	16.00	95.03	71.55	91.96	72.79								6.45	0.44	16.00	7.32	5.56	6.91	5.67	7.29	1.98	16.00	10.43	3.74	9.96	4.80
40.00	35.0_45.0	11	Åland Sea																																																																																																																																																																									6.27	0.29	16.00	6.75	5.82	6.72	5.89	6.31	0.91	16.00	7.88	4.25	7.50	4.80
