depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p
0.00	1	Gulf of Riga Estonian Coastal waters			0					-0.05		1	-0.05	-0.05					0							0					0.12	0.28	2	0.31	-0.08	0.29	-0.06	5.71	0.06	2	5.75	5.67	5.75	5.67	9.27	0.12	2	9.35	9.18	9.34	9.19	0.73	0.04	2	0.76	0.70	0.76	0.70	0.23	0.08	2	0.29	0.18	0.28	0.19	9.80	0.08	2	9.86	9.75	9.85	9.76	10.04	0.00	2	10.04	10.04	10.04	10.04	0.32	0.02	2	0.33	0.30	0.33	0.30	5.60	0.14	2	5.70	5.50	5.69	5.51	6.18		1	6.18	6.18					0							0					8.20	0.00	2	8.20	8.20	8.20	8.20	1.96	0.01	2	1.97	1.95	1.97	1.96	33.62	1.42	2	34.63	32.62	34.53	32.72	1.15	0.09	2	1.21	1.09	1.20	1.10
5.00	1	Gulf of Riga Estonian Coastal waters			0					-0.05		1	-0.05	-0.05					0							0					0.14	0.26	2	0.32	-0.04	0.30	-0.02	5.71	0.06	2	5.75	5.67	5.75	5.68	9.31	0.05	2	9.35	9.28	9.35	9.28	0.75	0.03	2	0.77	0.73	0.77	0.73	0.22	0.07	2	0.27	0.17	0.27	0.17	10.12	0.12	2	10.21	10.04	10.20	10.05	10.35	0.05	2	10.38	10.31	10.38	10.31	0.20	0.06	2	0.25	0.16	0.25	0.16	5.60	0.00	2	5.60	5.60	5.60	5.60	6.00	0.61	2	6.44	5.57	6.40	5.61			0							0					8.20	0.01	2	8.20	8.19	8.20	8.19	1.96	0.01	2	1.97	1.96	1.97	1.96	35.81	1.22	2	36.68	34.95	36.59	35.04	1.24	0.04	2	1.26	1.21	1.26	1.21
10.00	1	Gulf of Riga Estonian Coastal waters			0					-0.05		1	-0.05	-0.05					0							0					0.13	0.23	2	0.29	-0.03	0.27	-0.01	5.71	0.06	2	5.75	5.67	5.75	5.68	9.29	0.04	2	9.31	9.26	9.31	9.26	0.78		1	0.78	0.78			0.23	0.08	2	0.28	0.17	0.27	0.18	10.18	0.01	2	10.19	10.17	10.19	10.17	10.40	0.06	2	10.45	10.36	10.45	10.36	0.30	0.07	2	0.35	0.25	0.34	0.26	5.55	0.07	2	5.60	5.50	5.59	5.50	5.86	0.40	2	6.14	5.57	6.11	5.60			0							0					8.21	0.01	2	8.22	8.20	8.22	8.20	1.97	0.01	2	1.97	1.96	1.97	1.96	36.26	1.36	2	37.22	35.29	37.12	35.39	1.19	0.05	2	1.22	1.15	1.22	1.15
15.00	1	Gulf of Riga Estonian Coastal waters			0					-0.05		1	-0.05	-0.05					0							0					0.14	0.24	2	0.31	-0.03	0.29	-0.01	5.71	0.06	2	5.75	5.67	5.75	5.68	9.28	0.09	2	9.34	9.22	9.33	9.23	0.75	0.04	2	0.78	0.72	0.78	0.72	0.22	0.09	2	0.28	0.16	0.27	0.17	10.21	0.09	2	10.27	10.14	10.26	10.15	10.43	0.01	2	10.43	10.42	10.43	10.42	0.23	0.00	2	0.23	0.23	0.23	0.23	5.55	0.07	2	5.60	5.50	5.59	5.50	6.32	0.25	2	6.49	6.14	6.47	6.16			0							0					8.21	0.00	2	8.21	8.21	8.21	8.21	1.96	0.01	2	1.97	1.96	1.97	1.96	38.46	2.87	2	40.49	36.43	40.29	36.63	1.24	0.01	2	1.25	1.23	1.25	1.23
20.00	1	Gulf of Riga Estonian Coastal waters			0					-0.05		1	-0.05	-0.05					0							0					0.11	0.20	2	0.25	-0.03	0.24	-0.02	5.71	0.06	2	5.75	5.67	5.75	5.68	9.30	0.07	2	9.35	9.25	9.35	9.26	0.74	0.07	2	0.79	0.69	0.79	0.69	0.22	0.07	2	0.27	0.17	0.27	0.17	10.16	0.13	2	10.25	10.07	10.24	10.08	10.38	0.06	2	10.42	10.34	10.42	10.34	0.22	0.04	2	0.25	0.19	0.25	0.19	5.60	0.00	2	5.60	5.60	5.60	5.60	6.06	0.69	2	6.55	5.57	6.50	5.62			0							0					8.20	0.00	2	8.20	8.20	8.20	8.20	1.97	0.01	2	1.97	1.96	1.97	1.96	36.88	3.25	2	39.17	34.58	38.94	34.81	1.22	0.04	2	1.25	1.19	1.25	1.19
30.00	1	Gulf of Riga Estonian Coastal waters			0							0							0							0					0.14	0.19	2	0.27	0.00	0.26	0.01	5.71	0.06	2	5.75	5.67	5.75	5.68	9.29	0.02	2	9.30	9.27	9.30	9.27	0.80		1	0.80	0.80			0.16		1	0.16	0.16			10.27		1	10.27	10.27			10.43		1	10.43	10.43			0.21		1	0.21	0.21			5.60		1	5.60	5.60					0							0							0					8.19		1	8.19	8.19			1.97		1	1.97	1.97			41.88		1	41.88	41.88			1.20		1	1.20	1.20		
40.00	1	Gulf of Riga Estonian Coastal waters			0							0							0							0					0.33		1	0.33	0.33	0.33	0.33	5.68		1	5.68	5.68	5.68	5.68	9.19		1	9.19	9.19	9.19	9.19			0							0							0							0							0							0							0							0							0							0							0							0							0				
