depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p
0.00	8	Kiel Bay	5.50		1	5.50	5.50			17.50	0.58	3	18.17	17.13	18.07	17.14	14.69	1.34	3	15.96	13.30	15.85	13.45			0					17.74	0.65	2	18.20	17.28			14.63	1.29	3	15.87	13.30	15.76	13.44	6.19	0.24	2	6.36	6.02			0.19	0.07	3	0.25	0.11	0.25	0.12	0.04	0.01	3	0.05	0.02	0.05	0.02			0					0.10	0.00	3	0.10	0.10	0.10	0.10	0.21	0.05	3	0.27	0.17	0.26	0.17	8.27	2.86	3	10.30	5.00	10.22	5.45			0							0							0							0							0				
5.00	8	Kiel Bay	5.50		1	5.50	5.50			17.50	0.60	3	18.19	17.11	18.09	17.12	15.18	1.63	3	16.27	13.30	16.24	13.57			0					17.54	0.58	3	18.20	17.12	18.11	17.14	14.88	1.39	3	15.88	13.29	15.84	13.51	5.94	0.37	3	6.37	5.72	6.31	5.72	0.20	0.08	3	0.25	0.10	0.25	0.11	0.04	0.02	3	0.05	0.02	0.05	0.02			0					0.10	0.00	3	0.10	0.10	0.10	0.10	0.26	0.10	3	0.35	0.16	0.34	0.17	8.63	3.15	3	10.60	5.00	10.57	5.53			0							0							0							0							0				
10.00	8	Kiel Bay	5.50		1	5.50	5.50			17.39	1.35	3	18.83	16.16	18.66	16.26	16.73	2.20	3	19.17	14.89	18.87	15.02			0					17.32	1.27	3	18.65	16.11	18.50	16.22	16.63	2.23	3	19.11	14.77	18.80	14.90	5.50	0.69	3	6.11	4.76	6.06	4.85	0.25	0.14	3	0.38	0.10	0.37	0.12	0.03	0.01	3	0.04	0.02	0.04	0.02			0					0.10	0.00	3	0.10	0.10	0.10	0.10	0.26	0.04	3	0.31	0.23	0.30	0.23	9.03	5.32	3	13.80	3.30	13.42	3.97			0							0							0							0							0				
15.00	8	Kiel Bay	5.50		1	5.50	5.50			15.86	0.72	3	16.68	15.34	16.57	15.36	19.52	1.61	3	21.37	18.42	21.11	18.46			0					15.66	0.64	3	16.39	15.19	16.29	15.21	19.66	1.54	3	21.42	18.57	21.18	18.61	4.02	0.70	3	4.74	3.35	4.66	3.41	0.43	0.06	3	0.48	0.37	0.48	0.38	0.05	0.01	3	0.06	0.04	0.06	0.04	0.10	0.01	2	0.11	0.10			0.13	0.03	3	0.16	0.10	0.16	0.10	0.35	0.11	3	0.43	0.22	0.43	0.24	16.57	2.81	3	19.50	13.90	19.18	14.14			0							0							0							0							0				
20.00	8	Kiel Bay	5.50		1	5.50	5.50			14.38	0.07	3	14.45	14.30	14.44	14.31	22.43	1.58	3	23.90	20.76	23.77	20.95			0					14.03	0.65	3	14.77	13.57	14.67	13.59	24.05	1.84	2	25.35	22.74			3.16	0.26	3	3.46	2.98	3.42	2.99	0.66	0.03	2	0.68	0.64			0.14	0.03	2	0.16	0.12			0.42	0.16	2	0.54	0.31			0.56	0.19	2	0.70	0.42			0.75	0.13	2	0.84	0.66			22.98	0.74	2	23.50	22.45					0							0							0							0							0				
30.00	8	Kiel Bay	5.50		1	5.50	5.50			12.24	1.15	2	13.05	11.43	12.97	11.51	25.08	2.70	2	26.98	23.17	26.79	23.36			0					12.38	1.02	2	13.10	11.65	13.03	11.72	24.98	2.80	2	26.95	23.00	26.75	23.20	1.92	1.21	2	2.77	1.06	2.68	1.15			0							0							0							0							0							0							0							0							0							0							0				
