depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p
0.00	1	Gulf of Riga			0					0.58	0.36	16	1.49	0.19	1.18	0.22			0							0					0.61	0.47	6	1.54	0.21			6.20	0.51	6	7.18	5.76			9.09	0.17	6	9.25	8.78			0.73	0.09	6	0.91	0.63			0.54	0.25	6	0.85	0.24			10.01	1.91	6	12.23	6.81			10.55	1.88	6	12.82	7.66			0.88	1.04	6	2.97	0.19			8.38	2.14	6	10.70	5.70			3.72	2.12	5	5.91	1.38					0							0					8.20	0.03	6	8.24	8.16			1.88	0.11	6	1.96	1.67			33.76	2.50	6	36.54	29.93			1.09	0.12	6	1.19	0.88		
5.00	1	Gulf of Riga			0					0.58	0.36	16	1.49	0.18	1.19	0.22			0							0					0.59	0.47	6	1.51	0.21			6.20	0.51	6	7.18	5.76			9.11	0.17	6	9.25	8.77			0.73	0.08	6	0.89	0.65			0.54	0.25	6	0.85	0.23			10.37	1.95	6	12.60	7.08			10.90	1.92	6	13.21	7.93			0.49	0.28	6	0.88	0.14			8.45	2.25	6	11.00	5.60			3.65	2.02	5	5.80	1.24					0							0					8.21	0.09	6	8.39	8.15			1.88	0.11	6	1.96	1.67			35.51	2.55	6	38.64	31.51			1.16	0.06	6	1.22	1.06		
10.00	1	Gulf of Riga			0					0.58	0.36	16	1.50	0.18	1.19	0.21			0							0					0.58	0.49	6	1.55	0.16			6.21	0.53	6	7.22	5.76			9.07	0.16	6	9.23	8.77			0.74	0.09	6	0.89	0.62			0.54	0.24	6	0.81	0.24			10.40	2.05	6	12.66	6.89			10.94	2.03	6	13.26	7.70			0.49	0.26	6	0.78	0.15			8.43	2.21	6	10.80	5.60			4.14	1.90	5	5.98	1.12					0							0					8.19	0.04	6	8.27	8.14			1.88	0.11	6	1.96	1.66			36.14	2.08	6	38.29	33.49			1.15	0.09	6	1.24	0.99		
15.00	1	Gulf of Riga			0					0.62	0.38	14	1.63	0.22					0							0					0.67	0.53	6	1.65	0.20			6.30	0.58	6	7.25	5.76			9.05	0.15	6	9.18	8.76			0.77	0.12	5	0.96	0.64			0.66	0.32	5	1.11	0.24			10.37	2.30	5	12.25	6.58			11.03	2.29	5	12.87	7.36			0.71	0.40	5	1.28	0.15			10.04	2.64	5	13.20	6.10			3.63	1.70	4	5.24	1.24					0							0					8.17	0.02	5	8.19	8.14			1.84	0.12	5	1.94	1.65			35.17	3.99	5	39.90	29.06			1.15	0.09	5	1.27	1.03		
20.00	1	Gulf of Riga			0					0.65	0.40	12	1.64	0.22	1.29	0.27			0							0					0.81	0.52	5	1.65	0.38			6.46	0.58	5	7.25	5.89			9.01	0.17	5	9.13	8.73			0.75	0.05	4	0.80	0.69			0.69	0.39	4	1.16	0.24			9.80	2.38	4	12.09	6.48			10.49	2.36	4	12.66	7.26			0.78	0.54	4	1.49	0.19			9.88	3.20	4	13.80	6.10			3.40	2.15	3	5.46	1.17					0							0					8.28	0.23	4	8.62	8.14			1.81	0.14	4	1.94	1.65			34.92	5.14	4	38.61	27.41			1.22	0.08	4	1.30	1.11		
25.00	1	Gulf of Riga			0					0.95		1	0.95	0.95	0.95	0.95			0							0					0.93		1	0.93	0.93	0.93	0.93	6.91		1	6.91	6.91	6.91	6.91	9.00		1	9.00	9.00	9.00	9.00	0.79		1	0.79	0.79	0.79	0.79	1.15		1	1.15	1.15	1.15	1.15	10.32		1	10.32	10.32	10.32	10.32	11.47		1	11.47	11.47	11.47	11.47	1.59		1	1.59	1.59	1.59	1.59	13.20		1	13.20	13.20	13.20	13.20			0							0							0					8.18		1	8.18	8.18	8.18	8.18	1.75		1	1.75	1.75	1.75	1.75	36.62		1	36.62	36.62	36.62	36.62	1.37		1	1.37	1.37	1.37	1.37
30.00	1	Gulf of Riga			0					0.33	0.11	3	0.43	0.22					0							0					0.47	0.12	2	0.55	0.38			5.99	0.13	2	6.08	5.89			9.07	0.02	2	9.09	9.06			0.73		1	0.73	0.73			0.25		1	0.25	0.25			9.97		1	9.97	9.97			10.22		1	10.22	10.22			0.20		1	0.20	0.20			6.20		1	6.20	6.20					0							0							0					8.17		1	8.17	8.17			1.94		1	1.94	1.94			34.53		1	34.53	34.53			1.21		1	1.21	1.21		
40.00	1	Gulf of Riga			0							0							0							0					0.35		1	0.35	0.35	0.35	0.35	5.92		1	5.92	5.92	5.92	5.92	8.91		1	8.91	8.91	8.91	8.91			0							0							0							0							0							0							0							0							0							0							0							0							0				
