depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p
5.00	1	North Sea			0					6.81	0.39	5	7.34	6.46	7.30	6.47	34.93	0.05	5	34.99	34.86	34.99	34.87	6.40	0.00	5	6.40	6.40	6.40	6.40			0							0					6.78	0.04	3	6.83	6.75			0.51	0.04	3	0.56	0.47			0.08	0.06	3	0.14	0.04			4.36	2.10	3	6.77	2.93			4.44	2.08	3	6.82	2.97			0.21	0.02	3	0.23	0.20			2.57	0.38	3	3.00	2.30			0.47	0.12	3	0.60	0.40					0							0							0							0					13.77	0.67	3	14.20	13.00			0.74	0.06	3	0.79	0.67		
5.00	2	North Sea	2.00		1	2.00	2.00			6.45	0.31	8	6.75	5.96			34.97	0.15	8	35.14	34.78					0					6.01	0.65	8	6.70	4.63			34.66	0.77	6	35.08	33.10			6.98	0.12	8	7.26	6.85			0.61	0.10	8	0.82	0.52			0.08	0.06	8	0.21	0.03			7.74	4.89	8	18.79	3.83			6.95	2.15	5	8.73	3.86			0.46	0.48	5	1.30	0.14			4.71	2.96	8	12.00	3.20					0							0							0							0							0					16.07	6.13	7	29.40	10.50			0.80	0.04	4	0.84	0.75		
5.00	3	North Sea			0					4.76	0.54	3	5.36	4.31			32.67	0.82	2	33.26	32.09					0					1.88	0.71	5	2.98	1.11			32.83	2.08	12	35.22	27.98			7.49	0.26	12	7.85	7.00			0.78	0.23	12	1.41	0.58			0.81	0.51	12	1.65	0.09			21.90	18.69	12	70.48	5.72			32.56	19.83	7	72.13	10.06			1.53	1.15	12	3.37	0.15			10.67	7.74	12	29.40	3.10			1.20	0.71	2	1.70	0.70					0							0							0							0					35.03	22.82	12	88.80	11.30			1.26	0.14	12	1.45	1.02		
5.00	4	North Sea			0					5.85	0.46	16	6.49	5.16			33.83	0.49	7	34.47	32.95					0							0					33.71	1.19	11	34.72	31.26			7.53	0.29	11	8.02	7.17			0.26	0.19	11	0.70	0.05			0.17	0.15	11	0.42	0.02			7.37	11.05	11	31.21	0.10			20.60	14.92	3	31.63	3.62			0.33	0.24	11	0.78	0.06			1.60	2.94	11	9.30	0.10			4.13	4.13	3	8.90	1.60					0							0							0							0					18.48	13.25	11	47.50	6.50			0.66	0.09	11	0.83	0.51		
5.00	5	North Sea	9.47	3.63	10	15.00	2.50			8.09	0.67	2	8.56	7.62					0							0					8.33	0.74	12	9.24	6.85			33.60	0.74	14	34.67	32.47	34.54	32.55	7.06	0.33	13	7.84	6.38			0.13	0.18	14	0.72	0.02	0.39	0.02	0.04	0.03	14	0.12	0.02	0.10	0.02	1.12	2.39	14	8.85	0.10	4.91	0.10	1.60	1.80	2	2.88	0.33			0.29	0.12	13	0.49	0.09			1.09	1.11	14	4.50	0.50	2.94	0.50	2.80	5.77	14	22.70	0.30	9.57	0.50			0							0							0							0					13.59	7.71	14	39.10	6.70	23.89	8.00	0.54	0.17	14	0.90	0.32	0.87	0.37
5.00	6	North Sea			0							0							0							0					10.73	0.23	7	11.17	10.46	11.08	10.49	33.41	0.86	7	34.46	32.10	34.36	32.23	6.85	0.30	7	7.50	6.59	7.33	6.63	0.06	0.04	7	0.13	0.02	0.12	0.02	0.20	0.19	7	0.52	0.02	0.47	0.03	7.10	6.05	7	14.65	0.10	14.40	0.30			0					0.43	0.45	7	1.02	0.03	1.01	0.03	0.16	0.07	7	0.30	0.10	0.27	0.10			0							0							0							0							0					22.46	10.38	7	41.70	13.45	38.25	13.46	0.32	0.12	7	0.56	0.23	0.51	0.23
5.00	7	North Sea			0							0							0							0					16.22	0.73	7	16.90	15.04	16.84	15.13	31.76	0.96	7	33.11	30.16	32.98	30.50	6.12	0.20	7	6.34	5.81	6.33	5.87	0.04	0.02	7	0.07	0.02	0.06	0.02	0.04	0.01	7	0.06	0.02	0.06	0.02	0.10	0.00	7	0.10	0.10	0.10	0.10			0					0.49	0.29	7	0.88	0.23	0.87	0.23	0.29	0.24	7	0.80	0.10	0.65	0.10			0							0							0							0							0					11.60	1.02	7	13.49	10.65	13.15	10.68	0.40	0.09	7	0.55	0.28	0.52	0.29
5.00	8	North Sea			0					16.48	0.31	11	17.00	16.01	16.89	16.07	33.78	1.74	3	34.79	31.77			5.55	0.19	3	5.70	5.34					0					34.10	0.51	8	34.66	33.32			5.64	0.25	9	5.92	5.07			0.13	0.11	9	0.37	0.04			0.04	0.01	9	0.07	0.02			0.10	0.00	9	0.10	0.10			0.10		1	0.10	0.10			0.14	0.14	9	0.43	0.02			1.24	0.61	9	2.20	0.20			0.50		1	0.50	0.50					0							0							0							0					12.83	3.56	9	18.85	7.50			0.72	0.25	9	1.20	0.43		
5.00	9	North Sea			0					16.23		1	16.23	16.23	16.23	16.23	33.17		1	33.17	33.17	33.17	33.17			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
5.00	10	North Sea			0							0							0							0					12.49	0.39	11	12.89	11.44			34.04	0.55	12	34.68	33.00	34.61	33.12	5.79	0.07	12	5.88	5.67	5.86	5.67	0.27	0.09	12	0.38	0.14	0.36	0.16	0.03	0.01	12	0.07	0.02	0.05	0.02	0.24	0.18	12	0.67	0.10	0.54	0.10			0					1.14	1.10	12	3.00	0.17	2.97	0.21	3.11	1.06	12	4.15	1.20	4.12	1.31			0							0							0							0							0					13.18	2.78	12	17.40	9.40	17.18	9.68	0.85	0.09	8	1.01	0.72		
10.00	1	North Sea			0					6.81	0.40	5	7.34	6.45	7.30	6.46	34.93	0.05	5	34.99	34.86	34.99	34.87	6.40	0.00	5	6.40	6.40	6.40	6.40			0							0					6.78	0.04	2	6.80	6.75			0.54	0.04	2	0.56	0.51			0.10	0.07	2	0.15	0.05			5.07	2.38	2	6.75	3.39			5.17	2.31	2	6.80	3.54			0.20	0.00	2	0.20	0.20			2.70	0.42	2	3.00	2.40			0.40	0.00	2	0.40	0.40					0							0							0							0					12.50	1.84	2	13.80	11.20			0.70	0.04	2	0.73	0.67		
10.00	2	North Sea	2.00		1	2.00	2.00			6.45	0.31	8	6.75	5.95			34.97	0.15	8	35.17	34.78					0					6.05	0.78	6	6.71	4.58			34.66	0.69	6	35.08	33.28			6.99	0.15	5	7.23	6.82			0.63	0.11	6	0.83	0.52			0.07	0.06	6	0.19	0.03			8.70	4.83	6	17.75	3.81			6.94	2.15	5	8.69	3.84			0.47	0.61	4	1.37	0.05			5.03	3.10	6	11.35	3.60					0							0							0							0							0					16.93	5.14	6	27.20	12.80			0.79	0.02	5	0.81	0.75		
10.00	3	North Sea			0					4.95	0.53	4	5.42	4.33			32.72	0.76	2	33.26	32.19					0					0.38		1	0.38	0.38			32.95	1.61	7	34.77	30.88			7.38	0.32	7	8.07	7.08			0.79	0.27	7	1.30	0.60			0.82	0.48	7	1.42	0.26			22.08	15.14	7	44.83	6.59			33.90	10.09	4	46.13	22.68			1.50	1.11	7	2.97	0.36			10.37	6.69	7	20.40	3.40			1.03	0.35	3	1.40	0.70					0							0							0							0					34.23	21.00	7	64.20	10.70			1.28	0.26	7	1.75	0.96		
10.00	4	North Sea			0					5.69	0.38	14	6.25	5.20			33.85	0.47	7	34.47	32.99					0							0					33.99	0.78	12	34.73	32.13			7.45	0.30	11	7.97	7.18			0.38	0.26	12	0.85	0.05			0.14	0.11	12	0.37	0.02			9.72	12.10	12	35.15	0.74			17.86	13.09	6	35.52	1.33			0.43	0.26	12	0.97	0.13			3.98	5.77	12	18.80	0.10			5.12	4.85	6	11.90	1.30					0							0							0							0					19.36	10.68	12	39.10	6.60			0.71	0.11	10	0.92	0.55		
10.00	5	North Sea	10.94	1.94	9	15.00	9.00			7.30	0.18	3	7.49	7.13					0							0					8.00	0.63	11	8.85	6.77			33.47	0.66	14	34.67	32.51	34.46	32.58	7.24	0.60	14	8.93	6.38	8.34	6.71	0.13	0.18	14	0.73	0.02	0.42	0.02	0.08	0.10	14	0.32	0.02	0.29	0.02	4.12	6.95	13	22.59	0.10			13.81	9.12	3	22.91	4.68			0.31	0.20	14	0.93	0.16	0.68	0.17	1.00	1.05	14	4.40	0.30	2.71	0.43	2.44	3.53	14	12.75	0.29	9.60	0.49			0							0							0							0					15.30	9.31	13	36.85	8.40			0.53	0.14	14	0.89	0.36	0.73	0.39
10.00	6	North Sea			0							0							0							0					10.25	0.18	4	10.40	10.00			33.72	0.73	7	34.60	32.59	34.51	32.73	6.71	0.07	7	6.82	6.59	6.80	6.61	0.08	0.03	7	0.12	0.03	0.12	0.03	0.17	0.15	7	0.42	0.02	0.38	0.03	5.97	5.71	7	14.43	0.10	13.66	0.39			0					0.40	0.50	7	1.41	0.02	1.19	0.03	0.26	0.11	7	0.40	0.10	0.40	0.13			0							0							0							0							0					19.46	9.17	7	34.40	9.30	32.36	10.32	0.28	0.08	7	0.35	0.11	0.35	0.16
10.00	7	North Sea			0							0							0							0					14.97	1.59	6	16.30	12.35	16.30	12.72	32.46	1.14	6	33.55	30.94	33.52	31.08	6.22	0.32	6	6.74	5.88	6.66	5.90	0.06	0.02	6	0.10	0.03	0.09	0.03	0.04	0.01	6	0.05	0.03	0.05	0.03	0.20	0.24	6	0.69	0.10	0.54	0.10			0					0.50	0.18	6	0.71	0.26	0.70	0.29	0.33	0.21	6	0.70	0.15	0.64	0.16			0							0							0							0							0					12.55	1.79	6	14.49	9.92	14.47	10.29	0.43	0.10	6	0.52	0.27	0.52	0.30
10.00	8	North Sea			0					16.60	0.20	6	16.82	16.34	16.82	16.36	33.78	1.73	3	34.79	31.78			5.54	0.20	3	5.70	5.31					0					33.69	0.27	3	34.00	33.50			5.56	0.10	4	5.66	5.45			0.14	0.10	4	0.23	0.04			0.03	0.01	4	0.05	0.02			0.10	0.00	4	0.10	0.10			0.10		1	0.10	0.10			0.20	0.16	4	0.42	0.03			0.93	0.65	3	1.60	0.30			0.60		1	0.60	0.60					0							0							0							0					15.03	5.32	4	19.00	7.20			0.84	0.38	4	1.20	0.41		
10.00	9	North Sea			0					15.92		1	15.92	15.92	15.92	15.92	33.50		1	33.50	33.50	33.50	33.50			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
10.00	10	North Sea			0							0							0							0					12.18	0.42	4	12.73	11.72			34.44	0.42	6	34.93	33.80	34.90	33.90	5.85	0.03	6	5.87	5.81	5.87	5.81	0.26	0.04	5	0.33	0.22			0.07	0.05	6	0.15	0.02	0.14	0.03	0.23	0.19	6	0.51	0.10	0.49	0.10			0					0.37	0.10	6	0.53	0.26	0.50	0.27	1.89	0.61	6	2.90	1.00	2.67	1.16			0							0							0							0							0					12.55	3.06	6	17.30	9.30	16.62	9.45			0				
15.00	1	North Sea			0					6.81	0.39	5	7.33	6.45	7.29	6.46	34.93	0.05	5	34.99	34.86	34.99	34.87	6.40	0.00	5	6.40	6.40	6.40	6.40			0							0					6.79	0.05	3	6.83	6.73			0.50	0.07	3	0.56	0.43			0.08	0.06	3	0.15	0.03			4.37	2.11	3	6.80	2.95			4.45	2.10	3	6.85	2.98			0.20	0.00	3	0.20	0.20			2.57	0.38	3	3.00	2.30			0.43	0.06	3	0.50	0.40					0							0							0							0					12.57	1.84	3	14.60	11.00			0.71	0.03	3	0.74	0.69		
15.00	2	North Sea	2.00		1	2.00	2.00			6.45	0.32	8	6.75	5.95			34.98	0.16	8	35.20	34.78					0					6.11	0.67	6	6.71	4.90			34.79	0.40	5	35.09	34.11			6.97	0.12	6	7.19	6.83			0.61	0.06	6	0.70	0.53			0.11	0.16	6	0.44	0.04			7.57	2.51	6	10.88	3.82			6.95	2.15	5	8.73	3.86			0.37	0.29	4	0.64	0.05			4.42	1.57	6	7.60	3.60					0							0							0							0							0					15.93	3.11	6	21.80	13.00			0.77	0.01	5	0.78	0.75		
15.00	3	North Sea			0					4.98	0.55	4	5.51	4.36			32.81	0.64	2	33.26	32.36					0					1.63		1	1.63	1.63			33.41	2.55	7	35.21	28.12			7.24	0.21	6	7.58	7.02			0.75	0.27	7	1.33	0.57			0.54	0.60	7	1.59	0.08			18.77	23.11	7	68.99	5.00			35.11	31.84	3	70.58	9.01			1.04	1.23	7	3.06	0.03			5.36	4.46	5	13.00	2.40			0.90	1.13	2	1.70	0.10					0							0							0							0					28.95	27.51	7	86.00	9.52			1.22	0.18	7	1.50	1.03		
15.00	4	North Sea			0					5.67	0.37	13	6.32	5.24			33.82	0.38	6	34.13	33.12					0							0					33.86	1.05	11	34.73	31.54			7.48	0.31	11	8.13	7.16			0.34	0.28	11	0.82	0.10			0.12	0.13	11	0.40	0.02			6.78	9.92	11	32.31	0.11			13.03	12.27	5	32.71	2.03			0.38	0.30	11	1.03	0.08			2.06	3.11	11	9.20	0.20			5.40	5.49	5	14.60	1.20					0							0							0							0					17.26	10.65	11	46.60	8.90			0.67	0.10	10	0.86	0.48		
15.00	5	North Sea	10.15	2.48	10	15.00	6.50			6.84	0.08	3	6.92	6.76					0							0					7.77	0.54	12	8.83	6.78			33.87	0.53	15	34.72	32.56	34.49	33.14	7.23	0.37	15	7.93	6.30	7.72	6.71	0.16	0.18	15	0.73	0.02	0.41	0.02	0.06	0.06	15	0.18	0.02	0.17	0.02	2.98	4.44	15	11.66	0.10	11.41	0.10	10.24	2.47	3	11.85	7.40			0.38	0.19	15	0.90	0.20	0.68	0.21	1.02	1.03	15	4.50	0.50	2.68	0.50	5.52	5.88	7	16.60	0.31					0							0							0							0					13.69	6.11	14	28.20	8.20			0.61	0.21	14	1.18	0.37		
