depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p
0.00	8	Bay of Mecklenburg			0					17.41	0.59	2	17.82	16.99	17.78	17.03	12.15	0.33	2	12.38	11.91	12.36	11.94			0					17.50	0.41	2	17.79	17.21	17.76	17.24	13.14		1	13.14	13.14			6.13	0.22	2	6.29	5.98	6.27	6.00	0.17	0.09	2	0.23	0.11	0.22	0.12	0.02	0.00	2	0.02	0.02	0.02	0.02			0					0.10	0.00	2	0.10	0.10	0.10	0.10	0.14	0.03	2	0.16	0.12	0.16	0.12	7.30	0.57	2	7.70	6.90	7.66	6.94			0							0							0							0							0					19.20	0.42	2	19.50	18.90	19.47	18.93	0.61	0.12	2	0.70	0.53	0.69	0.54
5.00	8	Bay of Mecklenburg			0					17.52	0.47	2	17.86	17.19	17.83	17.22	12.47	0.62	2	12.90	12.03	12.86	12.07			0					17.52	0.38	2	17.79	17.26	17.76	17.29	13.25	1.72	2	14.47	12.03	14.35	12.15	5.96	0.43	2	6.26	5.65	6.23	5.68	0.15	0.06	2	0.20	0.11	0.20	0.11	0.02	0.00	2	0.02	0.02	0.02	0.02			0					0.10	0.00	2	0.10	0.10	0.10	0.10	0.12	0.02	2	0.14	0.11	0.14	0.11	7.30	0.57	2	7.70	6.90	7.66	6.94			0							0							0							0							0					18.75	1.63	2	19.90	17.60	19.79	17.71	0.59	0.02	2	0.61	0.58	0.61	0.58
10.00	8	Bay of Mecklenburg			0					17.11	0.81	2	17.69	16.54	17.63	16.60	14.47	2.16	2	16.00	12.94	15.84	13.09			0					16.95	0.96	2	17.63	16.27	17.56	16.34	14.59	2.43	2	16.31	12.87	16.14	13.04	5.49	0.90	2	6.12	4.85	6.06	4.91	0.20	0.09	2	0.26	0.13	0.25	0.14	0.03	0.01	2	0.03	0.02	0.03	0.02			0					0.10	0.00	2	0.10	0.10	0.10	0.10	0.20	0.01	2	0.20	0.19	0.20	0.19	8.80	1.84	2	10.10	7.50	9.97	7.63			0							0							0							0							0					18.60	1.13	2	19.40	17.80	19.32	17.88	0.62	0.09	2	0.68	0.56	0.67	0.57
15.00	8	Bay of Mecklenburg			0					16.49	0.75	2	17.02	15.96	16.97	16.01	16.02	0.99	2	16.72	15.32	16.65	15.39			0					16.29	0.66	2	16.75	15.82	16.70	15.87	16.01	1.18	2	16.84	15.18	16.76	15.26	4.89	0.73	2	5.41	4.37	5.36	4.42	0.26	0.09	2	0.32	0.19	0.31	0.20	0.03	0.01	2	0.04	0.02	0.04	0.02			0					0.10	0.00	2	0.10	0.10	0.10	0.10	0.24	0.04	2	0.27	0.21	0.27	0.21	10.05	2.19	2	11.60	8.50	11.45	8.65			0							0							0							0							0					17.25	1.34	2	18.20	16.30	18.11	16.39	0.65	0.07	2	0.70	0.60	0.69	0.60
20.00	8	Bay of Mecklenburg			0					14.14	1.63	2	15.29	12.99	15.18	13.11	19.42	2.55	2	21.22	17.61	21.04	17.79			0					14.01	1.79	2	15.27	12.74	15.14	12.87	19.35	2.52	2	21.13	17.57	20.95	17.75	2.75	1.56	2	3.86	1.65	3.75	1.76	0.56	0.26	2	0.74	0.38	0.72	0.40	0.07	0.01	2	0.07	0.06	0.07	0.06	0.10	0.00	2	0.10	0.10	0.10	0.10	0.12	0.01	2	0.13	0.12	0.13	0.12	0.29	0.05	2	0.33	0.26	0.33	0.26	22.05	12.23	2	30.70	13.40	29.84	14.27			0							0							0							0							0					15.70	1.13	2	16.50	14.90	16.42	14.98	0.88	0.20	2	1.02	0.74	1.01	0.75
25.00	8	Bay of Mecklenburg			0							0							0							0					13.71	1.94	2	15.08	12.34	14.94	12.48	19.73	2.69	2	21.63	17.83	21.44	18.02	2.20	2.12	2	3.70	0.70	3.55	0.85			0							0							0							0							0							0							0							0							0							0							0							0							0				
