depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p
5.00	8	11	6.50		1	6.50	6.50	6.50	6.50	16.88		1	16.88	16.88	16.88	16.88	6.32		1	6.32	6.32	6.32	6.32			0					16.80		1	16.80	16.80	16.80	16.80	6.29		1	6.29	6.29	6.29	6.29	6.72		1	6.72	6.72	6.72	6.72	0.07		1	0.07	0.07	0.07	0.07	0.03		1	0.03	0.03	0.03	0.03			0					0.10		1	0.10	0.10	0.10	0.10	0.05		1	0.05	0.05	0.05	0.05	7.40		1	7.40	7.40	7.40	7.40			0							0							0							0							0					24.80		1	24.80	24.80	24.80	24.80	0.62		1	0.62	0.62	0.62	0.62
5.00	12	11	5.00		1	5.00	5.00	5.00	5.00	1.47		1	1.47	1.47	1.47	1.47	7.16		1	7.16	7.16	7.16	7.16			0					1.28		1	1.28	1.28	1.28	1.28	7.22		1	7.22	7.22	7.22	7.22	8.41		1	8.41	8.41	8.41	8.41	0.91		1	0.91	0.91	0.91	0.91	0.35		1	0.35	0.35	0.35	0.35	4.37		1	4.37	4.37	4.37	4.37	4.72		1	4.72	4.72	4.72	4.72	1.98		1	1.98	1.98	1.98	1.98	18.70		1	18.70	18.70	18.70	18.70			0							0							0							0							0					26.10		1	26.10	26.10	26.10	26.10	1.18		1	1.18	1.18	1.18	1.18
10.00	3	11			0					2.81		1	2.81	2.81	2.81	2.81	7.00		1	7.00	7.00	7.00	7.00	8.71		1	8.71	8.71	8.71	8.71			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
10.00	6	11	13.00		1	13.00	13.00	13.00	13.00	4.05		1	4.05	4.05	4.05	4.05	6.52		1	6.52	6.52	6.52	6.52			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
10.00	7	11	5.00		1	5.00	5.00	5.00	5.00	21.25		1	21.25	21.25	21.25	21.25	5.91		1	5.91	5.91	5.91	5.91			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
10.00	8	11	6.50		1	6.50	6.50	6.50	6.50	16.81		1	16.81	16.81	16.81	16.81	6.37		1	6.37	6.37	6.37	6.37			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
15.00	3	11			0					2.81		1	2.81	2.81	2.81	2.81	7.00		1	7.00	7.00	7.00	7.00	8.71		1	8.71	8.71	8.71	8.71			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
15.00	6	11	13.00		1	13.00	13.00	13.00	13.00	3.04		1	3.04	3.04	3.04	3.04	6.62		1	6.62	6.62	6.62	6.62			0					3.08		1	3.08	3.08	3.08	3.08	6.66		1	6.66	6.66	6.66	6.66	8.88		1	8.88	8.88	8.88	8.88	0.34		1	0.34	0.34	0.34	0.34	0.04		1	0.04	0.04	0.04	0.04	0.11		1	0.11	0.11	0.11	0.11	0.15		1	0.15	0.15	0.15	0.15	0.21		1	0.21	0.21	0.21	0.21	10.30		1	10.30	10.30	10.30	10.30			0							0							0							0							0					20.40		1	20.40	20.40	20.40	20.40	0.71		1	0.71	0.71	0.71	0.71
15.00	7	11	5.00		1	5.00	5.00	5.00	5.00	19.04		1	19.04	19.04	19.04	19.04	5.90		1	5.90	5.90	5.90	5.90			0					19.38		1	19.38	19.38	19.38	19.38	5.88		1	5.88	5.88	5.88	5.88	6.41		1	6.41	6.41	6.41	6.41	0.08		1	0.08	0.08	0.08	0.08	0.06		1	0.06	0.06	0.06	0.06	0.18		1	0.18	0.18	0.18	0.18	0.24		1	0.24	0.24	0.24	0.24	0.61		1	0.61	0.61	0.61	0.61	8.60		1	8.60	8.60	8.60	8.60			0							0							0							0							0					21.70		1	21.70	21.70	21.70	21.70	0.55		1	0.55	0.55	0.55	0.55
15.00	8	11	6.50		1	6.50	6.50	6.50	6.50	16.57		1	16.57	16.57	16.57	16.57	6.36		1	6.36	6.36	6.36	6.36			0					16.62		1	16.62	16.62	16.62	16.62	6.37		1	6.37	6.37	6.37	6.37	6.47		1	6.47	6.47	6.47	6.47	0.09		1	0.09	0.09	0.09	0.09	0.03		1	0.03	0.03	0.03	0.03	0.10		1	0.10	0.10	0.10	0.10	0.10		1	0.10	0.10	0.10	0.10	0.26		1	0.26	0.26	0.26	0.26	7.20		1	7.20	7.20	7.20	7.20			0							0							0							0							0					21.60		1	21.60	21.60	21.60	21.60	0.58		1	0.58	0.58	0.58	0.58
20.00	3	11			0					2.81		1	2.81	2.81	2.81	2.81	7.00		1	7.00	7.00	7.00	7.00	8.70		1	8.70	8.70	8.70	8.70			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
30.00	3	11			0					2.81		1	2.81	2.81	2.81	2.81	7.00		1	7.00	7.00	7.00	7.00	8.69		1	8.69	8.69	8.69	8.69			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
40.00	3	11			0					2.81		1	2.81	2.81	2.81	2.81	7.00		1	7.00	7.00	7.00	7.00	8.69		1	8.69	8.69	8.69	8.69			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
50.00	3	11			0					2.80		1	2.80	2.80	2.80	2.80	7.00		1	7.00	7.00	7.00	7.00	8.70		1	8.70	8.70	8.70	8.70			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
